id,phase1_dps,phase2_dps,phase3_dps,FK_player_id
817,24437.94,13728.05,0.0,Arilozen.2756
818,41916.58,38395.88,15735.87,Hell.2516
819,23242.41,19871.43,9370.87,KiritoBR.9783
820,17478.6,17795.65,46.52,mrhappyclam.2408
821,18050.46,18420.43,24557.11,ogUrek.8456
822,4446.64,4299.72,5279.42,Andi.9247
823,38481.5,38624.77,37806.36,Sharmouta.8691
824,28720.19,30585.43,21346.31,jeho.6473
825,27940.6,24154.8,41489.06,Lieschen.6207
826,19342.98,28535.62,24313.58,Svalbard.4709
827,25888.31,22621.14,27402.28,EinAnonymerFreund.7139
828,7175.74,5291.51,8556.22,Darkshade.7619
829,23627.76,25540.65,30568.44,Memeguama.2648
830,15709.62,15641.16,18955.33,Jane.7651
831,39408.76,34437.41,32287.74,Fliessa.5386
832,26441.95,29225.53,28728.16,DieJenny.9754
833,37448.5,43767.88,31764.79,Timmii Duesentrieb.9061
834,15529.89,17634.2,15003.58,oPeet.1702
835,37606.5,45897.29,40222.74,Louv.4903
836,4246.73,2958.9,3202.15,Danel.8573
837,33120.0,29122.94,28383.58,Angefraggt.9651
838,32406.24,29107.65,27671.7,Entity Of Sin.1859
839,22082.22,18269.1,16966.01,CuChullaInn.5468
840,45614.06,44304.9,45193.85,PressXToDash.3194
841,31987.32,34592.37,39410.16,goodnuff.8392
842,9979.12,7319.5,8261.34,BViper.1524
843,12419.1,11798.2,13555.78,Shon Plays.9328
844,22520.48,24643.82,20008.38,DeaconFrost.4870
845,38979.47,37372.04,35717.46,HoTsPuR.6471
846,4608.01,2874.22,2241.01,Junihae.3758
847,22749.23,23781.47,28738.9,Arkanister.2784
848,22909.66,15193.53,10752.58,renverie.7895
849,23544.62,9686.14,8916.65,Siegwald.2170
850,12913.77,10075.78,7783.87,jasiper.6897
851,24832.82,29947.19,33067.12,lenny.2437
852,33705.75,34046.68,38136.88,CZMesiath.9503
853,22020.67,23199.65,25133.86,Kyra.3017
854,21672.74,24001.47,22346.3,phanke.4923
855,4150.3,4721.61,5946.09,Azzn.2930
856,3176.94,3066.68,2201.17,Waver.7453
857,23279.81,20943.81,22170.76,Alucard.3645
858,23665.38,20191.74,25875.98,Desh.7421
859,23160.19,21808.12,27796.22,Aegis.6518
860,27683.52,22592.02,26166.44,Nostris.3021
861,21608.01,24052.76,24730.9,Gesicht.2536
862,38506.38,43563.72,43767.91,Slim Shady.1680
863,18406.49,15686.85,17614.59,Dauly.3860
864,24392.4,17176.25,24173.63,Audydy.7640
865,7651.88,5960.47,5156.37,Aditya.4897
866,2130.0,1700.57,2423.27,Kowalsky.3850
867,20190.14,20219.95,23932.01,Miani.3594
868,20448.09,19369.07,22464.1,clipho.3498
869,15501.01,16340.21,14109.66,Lionheart.2139
870,36042.59,33414.01,26790.77,MaelStroem.8392
871,2764.22,1898.57,1196.29,Syntyr.3297
872,36607.35,25247.87,1255.97,Weeee.7493
873,20173.27,20402.17,4624.35,RoteRakete.1780
874,9938.19,7890.92,4930.97,Joki.3156
875,17098.8,8565.92,5369.03,Stuka.1203
876,18413.36,19910.84,2054.03,Mash Out.9731
877,24723.2,27451.31,890.16,Assasine.7820
878,23576.26,21191.02,1250.48,Tepo.1683
879,1547.3,2133.69,1084.03,Cobyah.6528
880,19031.88,13792.79,4446.13,Inexorable.6897
881,17484.52,16250.35,22819.17,MrBean.6475
882,15187.02,26738.8,31446.25,Greggers.6247
883,795.94,1173.53,1661.43,Yeris.4956
884,18426.57,19033.24,29525.53,Kirk.8102
885,15647.83,19033.88,21319.63,Guile.6947
886,37412.07,36618.56,43718.77,Nyancat.9761
887,14426.99,11382.54,13439.05,Peckita.6470
888,20955.24,20146.55,22341.2,SaladFork.6823
889,40277.88,42718.93,45311.23,GrrrBox.7450
890,4450.44,5315.11,6083.9,Snowi.6385
891,38672.63,39421.78,42277.93,thomas.1307
892,35498.07,34340.98,40275.55,Nominem.5408
893,5066.65,2694.98,2263.86,Alaya.8765
894,22257.31,23292.29,27695.21,PhilippH.7648
895,24653.07,33600.77,35209.07,Townuri.9530
896,4134.15,5306.03,6051.86,Olimon.7253
897,24684.87,22196.84,25187.31,Richard.2937
898,34717.03,36509.9,40515.03,StaXz.2405
899,38432.91,38469.73,44987.31,Rotax.8967
900,11218.32,10357.88,16906.97,Epiphany.2715
901,32094.41,35431.77,42303.6,Nimajuto.8472
902,19672.52,22032.99,30372.13,trkeur.9123
903,4780.29,3399.68,5926.03,Gudu.1648
904,21396.67,23627.94,17830.42,Calibre.1589
905,21724.09,25729.77,8820.63,girdhan.1274
906,29669.93,30596.37,29106.36,floboss.4650
907,18038.6,23069.51,14251.03,Basic.7145
908,6119.56,5540.58,8508.83,WVlad.1243
909,15695.27,18100.52,21347.55,Pioneer.4627
910,18523.8,28287.41,29906.75,CZMesiath.9503
911,13238.03,13362.04,9855.25,Zplatter.5187
